"card_id","category","scene_ja","prompt_en","prompt_ja","level","level_name","constraints","model_answer_en","model_answer_ja","review_points","tags"
"skate-001","introduction","初対面のスケーターに自己紹介する","Introduce yourself to a skater you just met.","初対面のスケーターに自己紹介してください。","L1","Verb focus","1 sentence, 4-7 words, use simple verbs","Hi, I skate here sometimes.","こんにちは。僕はここで時々滑ります。","Use I + verb + place/time.","intro;park"
"skate-001","introduction","初対面のスケーターに自己紹介する","Introduce yourself to a skater you just met.","初対面のスケーターに自己紹介してください。","L2","Add detail","1 sentence, add one adjective","Hi, I skate at this small park sometimes.","こんにちは。僕はこの小さいパークで時々滑ります。","Add one adjective before a noun.","intro;park"
"skate-001","introduction","初対面のスケーターに自己紹介する","Introduce yourself to a skater you just met.","初対面のスケーターに自己紹介してください。","L3","Reason","2 sentences, add experience","Hi, I skate here sometimes. I have skated for about fifteen years.","こんにちは。僕はここで時々滑ります。15年くらいスケボーをしています。","Use present perfect for experience.","intro;experience"
"skate-001","introduction","初対面のスケーターに自己紹介する","Introduce yourself to a skater you just met.","初対面のスケーターに自己紹介してください。","L4","Conversation","2 sentences, add a question","Hi, I skate here sometimes. What trick are you practicing today?","こんにちは。僕はここで時々滑ります。今日は何の技を練習していますか。","End with a simple question.","intro;question"
"skate-002","question","相手が練習している技を聞く","Ask what trick the other person is practicing.","相手が何の技を練習しているか聞いてください。","L1","Verb focus","1 question, 4-6 words","What trick are you practicing?","何の技を練習していますか。","Use What + noun + are you -ing?","question;trick"
"skate-002","question","相手が練習している技を聞く","Ask what trick the other person is practicing.","相手が何の技を練習しているか聞いてください。","L2","Add detail","1 question, add today","What trick are you practicing today?","今日は何の技を練習していますか。","Add time expression at the end.","question;trick"
"skate-002","question","相手が練習している技を聞く","Ask what trick the other person is practicing.","相手が何の技を練習しているか聞いてください。","L3","Reason","2 sentences, add interest","What trick are you practicing today? It looks fun.","今日は何の技を練習していますか。楽しそうに見えます。","Use It looks + adjective.","question;reaction"
"skate-002","question","相手が練習している技を聞く","Ask what trick the other person is practicing.","相手が何の技を練習しているか聞いてください。","L4","Conversation","2 questions, ask follow-up","What trick are you practicing today? Is it hard?","今日は何の技を練習していますか。難しいですか。","Ask a short follow-up question.","question;follow-up"
"skate-003","compliment","相手の技をほめる","Compliment someone's trick.","相手の技をほめてください。","L1","Verb focus","1 sentence, 3-5 words","That looked good.","今のよかったです。","Use That looked + adjective.","compliment"
"skate-003","compliment","相手の技をほめる","Compliment someone's trick.","相手の技をほめてください。","L2","Add detail","1 sentence, add specific noun","That kickflip looked clean.","今のキックフリップはきれいでした。","Name the trick if you can.","compliment;trick"
"skate-003","compliment","相手の技をほめる","Compliment someone's trick.","相手の技をほめてください。","L3","Reason","2 sentences, add reason","That kickflip looked clean. Your landing was smooth.","今のキックフリップはきれいでした。着地がスムーズでした。","Use a reason with a second sentence.","compliment;reason"
"skate-003","compliment","相手の技をほめる","Compliment someone's trick.","相手の技をほめてください。","L4","Conversation","2 sentences, add request","That kickflip looked clean. Can I see it again?","今のキックフリップはきれいでした。もう一回見せてもらえますか。","Add Can I ...? for a natural follow-up.","compliment;request"
"skate-004","experience","自分のスケボー歴を伝える","Tell someone how long you have been skating.","自分のスケボー歴を伝えてください。","L1","Verb focus","1 sentence, 5-8 words","I have skated for fifteen years.","15年スケボーをしています。","Use have + past participle + for.","experience"
"skate-004","experience","自分のスケボー歴を伝える","Tell someone how long you have been skating.","自分のスケボー歴を伝えてください。","L2","Add detail","1 sentence, add about","I have skated for about fifteen years.","15年くらいスケボーをしています。","Use about for approximate years.","experience"
"skate-004","experience","自分のスケボー歴を伝える","Tell someone how long you have been skating.","自分のスケボー歴を伝えてください。","L3","Reason","2 sentences, add current focus","I have skated for about fifteen years. Now I practice basic tricks again.","15年くらいスケボーをしています。今は基本の技をまた練習しています。","Add now to talk about current practice.","experience;practice"
"skate-004","experience","自分のスケボー歴を伝える","Tell someone how long you have been skating.","自分のスケボー歴を伝えてください。","L4","Conversation","2 sentences, add question","I have skated for about fifteen years. How long have you been skating?","15年くらいスケボーをしています。あなたはどのくらいやっていますか。","Mirror the same question to the other person.","experience;question"
"skate-005","invite","一緒に滑ろうと誘う","Invite someone to skate together.","一緒に滑ろうと誘ってください。","L1","Verb focus","1 sentence, 3-5 words","Let's skate together.","一緒に滑りましょう。","Use Let's + verb.","invite"
"skate-005","invite","一緒に滑ろうと誘う","Invite someone to skate together.","一緒に滑ろうと誘ってください。","L2","Add detail","1 sentence, add time","Let's skate together after this.","この後一緒に滑りましょう。","Add a time phrase at the end.","invite;time"
"skate-005","invite","一緒に滑ろうと誘う","Invite someone to skate together.","一緒に滑ろうと誘ってください。","L3","Reason","2 sentences, add reason","Let's skate together after this. I want to try that line.","この後一緒に滑りましょう。あのラインを試したいです。","Use want to + verb.","invite;reason"
"skate-005","invite","一緒に滑ろうと誘う","Invite someone to skate together.","一緒に滑ろうと誘ってください。","L4","Conversation","2 sentences, make it polite","Do you want to skate together after this? I want to try that line.","この後一緒に滑りませんか。あのラインを試したいです。","Use Do you want to ...? for a casual invitation.","invite;question"
"skate-006","trouble","転んだ後に大丈夫だと伝える","Say you are okay after falling.","転んだ後に大丈夫だと伝えてください。","L1","Verb focus","1 sentence, 3-5 words","I'm okay.","大丈夫です。","Use I'm + adjective.","fall;health"
"skate-006","trouble","転んだ後に大丈夫だと伝える","Say you are okay after falling.","転んだ後に大丈夫だと伝えてください。","L2","Add detail","1 sentence, add body part","I'm okay. My knee hurts a little.","大丈夫です。膝が少し痛いです。","Use My + body part + hurts.","fall;health"
"skate-006","trouble","転んだ後に大丈夫だと伝える","Say you are okay after falling.","転んだ後に大丈夫だと伝えてください。","L3","Reason","2 sentences, add plan","I'm okay. My knee hurts a little, so I will rest.","大丈夫です。膝が少し痛いので休みます。","Use so for result.","fall;rest"
"skate-006","trouble","転んだ後に大丈夫だと伝える","Say you are okay after falling.","転んだ後に大丈夫だと伝えてください。","L4","Conversation","2 sentences, add thanks","I'm okay, thanks. My knee hurts a little, so I will rest for a minute.","大丈夫です、ありがとう。膝が少し痛いので少し休みます。","Add thanks and for a minute.","fall;thanks"
"skate-007","small-talk","外国人の友達に今日の練習メニューを話す","Tell a foreign friend what you want to practice today.","外国人の友達に、今日何を練習したいか伝えてください。","L1","Verb focus","1 sentence, 5-8 words","I want to practice ollies today.","今日はオーリーを練習したいです。","Use I want to + verb.","friend;practice"
"skate-007","small-talk","外国人の友達に今日の練習メニューを話す","Tell a foreign friend what you want to practice today.","外国人の友達に、今日何を練習したいか伝えてください。","L2","Add detail","1 sentence, add one adjective","I want to practice higher ollies today.","今日はもっと高いオーリーを練習したいです。","Add one adjective before the trick.","friend;practice"
"skate-007","small-talk","外国人の友達に今日の練習メニューを話す","Tell a foreign friend what you want to practice today.","外国人の友達に、今日何を練習したいか伝えてください。","L3","Reason","2 sentences, add reason","I want to practice higher ollies today because my timing is weak.","タイミングが弱いので、今日はもっと高いオーリーを練習したいです。","Use because to explain the reason.","friend;practice;reason"
"skate-007","small-talk","外国人の友達に今日の練習メニューを話す","Tell a foreign friend what you want to practice today.","外国人の友達に、今日何を練習したいか伝えてください。","L4","Conversation","2 sentences, add a question","I want to practice higher ollies today. Can you watch my timing?","今日はもっと高いオーリーを練習したいです。タイミングを見てもらえますか。","Add Can you ...? to make it conversational.","friend;practice;question"
